sms_text,account_no,reference_id,amount,txn_type,date,merchant,category,bank
"Dear KOTAK User, your A/c X1636-credited by Rs.44999.28 on 19Aug26 transfer from BLINKIT GROCERIES Ref No 200036252944 -AXIS",X1636,200036252944,44999.28,Credit,19Aug26,NaN,Miscellaneous,AXIS
Payment of Rs.5129.00 successful to SHELL INDIA via UPI Ref 798348338150,NaN,798348338150,5129.00,Debit,NaN,SHELL INDIA VIA UPI,Recharge,NaN
"Dear SBI User, your A/c X1148-credited by Rs.15932.39 on 17Sep26 transfer from GOOGLE INDIA DIGITAL SERVICES PVT LTD Ref No 203451068338 -KOTAK",X1148,203451068338,15932.39,Credit,17Sep26,NaN,Miscellaneous,SBI
Transaction successful. Rs.30294.00 transferred to PHYSICS WALLAH Ref No 411634680267,NaN,411634680267,30294.00,Debit,NaN,PHYSICS WALLAH,Education,NaN
"Dear SBI User, your A/c X5543-credited by Rs.14581.38 on 06Feb26 transfer from UPSTOX SECURITIES Ref No 692420429997 -AXIS",X5543,692420429997,14581.38,Credit,06Feb26,NaN,Miscellaneous,SBI
"Dear SBI User, your A/c X1191-credited by Rs.14707.25 on 01Apr26 transfer from ANGEL ONE LIMITED Ref No 317501920185 -SBI",X1191,317501920185,14707.25,Credit,01Apr26,NaN,Miscellaneous,SBI
INR 25878.00 spent using UPI at INSTAMART Ref No 194257590541 on 11Apr26. Avl Bal XXXX,NaN,194257590541,25878.00,Debit,11Apr26,INSTAMART,Groceries,NaN
"Dear ICICI User, your A/c X1826-credited by Rs.9542.16 on 02May26 transfer from PHYSICS WALLAH Ref No 993613144166 -PNB",X1826,993613144166,9542.16,Credit,02May26,NaN,Miscellaneous,ICICI
Dear UPI user A/C X8501 debited by 11807.00 on date 01Feb26 trf to LIC PREMIUM Refno 891255925506 If not u? call-1800111109 - SBI,X8501,891255925506,11807.00,Debit,01Feb26,LIC PREMIUM,Insurance,SBI
"Dear SBI User, your A/c X6314-credited by Rs.40057.94 on 19Dec26 transfer from PAYTM PAYMENTS BANK Ref No 456200171701 -PNB",X6314,456200171701,40057.94,Credit,19Dec26,NaN,Miscellaneous,SBI
Your A/c XX6608 is debited by Rs.25712.00 on 29Jun26 towards OLA CABS - ICICI Bank,XX6608,NaN,25712.00,Debit,29Jun26,NaN,Miscellaneous,ICICI
"Dear PNB User, your A/c X7574-credited by Rs.4204.8 on 10Jan26 transfer from PAYTM PAYMENTS BANK Ref No 796804758632 -SBI",X7574,796804758632,4204.8,Credit,10Jan26,NaN,Miscellaneous,SBI
"Dear ICICI User, your A/c X9037-credited by Rs.40840.34 on 18Jun26 transfer from ANGEL ONE LIMITED Ref No 392130712072 -SBI",X9037,392130712072,40840.34,Credit,18Jun26,NaN,Miscellaneous,SBI
Dear UPI user A/C X9567 debited by 47890.00 on date 28Mar26 trf to UPSTOX Refno 597311893323 If not u? call-1800111109 - SBI,X9567,597311893323,47890.00,Debit,28Mar26,UPSTOX,Finance,SBI
Transaction successful. Rs.33539.00 transferred to BLINKIT GROCERIES Ref No 933785318390,NaN,933785318390,33539.00,Debit,NaN,BLINKIT GROCERIES,Groceries,NaN
UPI Txn Successful. Rs.4834.00 debited from A/c XX3596 towards SHELL INDIA Ref 761473910989,XX3596,761473910989,4834.00,Debit,NaN,NaN,Miscellaneous,NaN
Your A/c XX9034 is debited by Rs.29231.00 on 14Mar26 towards UDEMY INDIA - ICICI Bank,XX9034,NaN,29231.00,Debit,14Mar26,NaN,Miscellaneous,ICICI
A/c XX4983 debited by Rs.48503.00 for HDFC LIFE INSURANCE on 10May26 UTR 288012112213,XX4983,288012112213,48503.00,Debit,10May26,HDFC LIFE INSURANCE,Insurance,HDFC
"Dear PNB User, your A/c X1961-credited by Rs.5788.14 on 07Aug26 transfer from AMAZON PAY INDIA Ref No 544128385272 -AXIS",X1961,544128385272,5788.14,Credit,07Aug26,NaN,Miscellaneous,AXIS
"Dear PNB User, your A/c X7344-credited by Rs.39476.65 on 05Aug26 transfer from UPSTOX SECURITIES Ref No 674521118544 -HDFC",X7344,674521118544,39476.65,Credit,05Aug26,NaN,Miscellaneous,HDFC
INR 11125.00 spent using UPI at LANDLORD Ref No 509215490182 on 19Mar26. Avl Bal XXXX,NaN,509215490182,11125.00,Debit,19Mar26,LANDLORD,Rent,NaN
"Dear ICICI User, your A/c X1168-credited by Rs.20510.94 on 09Sep26 transfer from FLIPKART INTERNET PVT LTD Ref No 748723713809 -SBI",X1168,748723713809,20510.94,Credit,09Sep26,NaN,Miscellaneous,SBI
"Dear PNB User, your A/c X9015-credited by Rs.40855.87 on 23Mar26 transfer from SWIGGY LIMITED Ref No 864000116063 -ICICI",X9015,864000116063,40855.87,Credit,23Mar26,NaN,Miscellaneous,ICICI
"Dear SBI User, your A/c X8393-credited by Rs.35668.9 on 28Jan26 transfer from GROWW INVESTMENTS Ref No 111309730663 -ICICI",X8393,111309730663,35668.9,Credit,28Jan26,NaN,Miscellaneous,SBI
"Dear HDFC User, your A/c X6454-credited by Rs.36696.03 on 16Mar26 transfer from UNACADEMY Ref No 877787033119 -KOTAK",X6454,877787033119,36696.03,Credit,16Mar26,NaN,Miscellaneous,HDFC
Payment of Rs.12004.00 successful to PHYSICS WALLAH via UPI Ref 177925062492,NaN,177925062492,12004.00,Debit,NaN,PHYSICS WALLAH VIA UPI,Recharge,NaN
"Dear SBI User, your A/c X1596-credited by Rs.4042.36 on 15May26 transfer from NETFLIX INDIA Ref No 241398320527 -PNB",X1596,241398320527,4042.36,Credit,15May26,NaN,Miscellaneous,SBI
INR 42495.00 spent using UPI at PM CARES FUND Ref No 818397821361 on 04May26. Avl Bal XXXX,NaN,818397821361,42495.00,Debit,04May26,PM CARES FUND,Donation,NaN
Your A/c XX8550 is debited by Rs.9389.00 on 12Feb26 towards PM CARES FUND - ICICI Bank,XX8550,NaN,9389.00,Debit,12Feb26,NaN,Miscellaneous,ICICI
Your A/c XX8065 is debited by Rs.8654.00 on 12Jun26 towards CULT FIT - ICICI Bank,XX8065,NaN,8654.00,Debit,12Jun26,NaN,Miscellaneous,ICICI
UPI Txn Successful. Rs.25021.00 debited from A/c XX8927 towards SPOTIFY INDIA Ref 693905029449,XX8927,693905029449,25021.00,Debit,NaN,NaN,Miscellaneous,NaN
Dear UPI user A/C X1440 debited by 12125.00 on date 03May26 trf to ISKCON Refno 123088469906 If not u? call-1800111109 - SBI,X1440,123088469906,12125.00,Debit,03May26,ISKCON,Donation,SBI
INR 45389.00 spent using UPI at GOLD GYM Ref No 199552810536 on 07May26. Avl Bal XXXX,NaN,199552810536,45389.00,Debit,07May26,GOLD GYM,Fitness,NaN
UPI Txn Successful. Rs.10792.00 debited from A/c XX2837 towards SWIGGY LIMITED Ref 384213372265,XX2837,384213372265,10792.00,Debit,NaN,NaN,Miscellaneous,NaN
"Dear SBI User, your A/c X5155-credited by Rs.30090.68 on 22Aug26 transfer from SWIGGY LIMITED Ref No 856847056349 -KOTAK",X5155,856847056349,30090.68,Credit,22Aug26,NaN,Miscellaneous,SBI
